,delta_mean
639,1.0
640,1.0
641,0.0
642,1.0
643,1.0
644,1.0
645,1.0
646,1.0
647,0.0
648,1.0
649,1.0
650,1.0
651,0.0
652,0.0
653,1.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,1.0
662,1.0
663,1.0
664,1.0
665,1.0
666,1.0
667,1.0
668,1.0
669,1.0
670,1.0
671,1.0
672,1.0
673,1.0
674,1.0
675,1.0
676,1.0
677,1.0
678,1.0
679,1.0
680,1.0
681,1.0
682,1.0
683,1.0
684,1.0
685,1.0
686,1.0
687,1.0
688,1.0
689,1.0
690,1.0
691,1.0
692,1.0
693,1.0
694,1.0
695,1.0
696,1.0
697,1.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.0
703,1.0
704,0.0
705,1.0
706,0.0
707,0.0
708,0.0
709,0.0
710,1.0
711,0.0
712,0.0
713,0.0
714,1.0
715,0.0
716,1.0
717,0.0
718,1.0
719,1.0
720,1.0
721,0.0
722,1.0
723,0.0
724,1.0
725,1.0
726,0.0
727,1.0
728,1.0
729,1.0
730,0.0
731,1.0
732,0.0
733,0.0
734,1.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,1.0
741,1.0
742,1.0
743,1.0
744,0.0
745,1.0
746,0.0
747,1.0
748,0.0
749,1.0
750,1.0
751,1.0
752,0.0
753,1.0
754,0.0
755,1.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,1.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,1.0
770,1.0
771,0.0
772,1.0
773,1.0
774,0.0
775,1.0
776,1.0
777,0.0
778,1.0
779,1.0
780,0.0
781,1.0
782,0.0
783,1.0
784,1.0
785,1.0
786,0.0
787,0.0
788,0.0
789,1.0
790,0.0
791,1.0
792,1.0
793,0.0
794,1.0
795,0.0
796,0.0
797,0.0
798,0.0
799,1.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,1.0
810,0.0
811,0.0
812,1.0
813,0.0
814,1.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,1.0
821,1.0
822,0.0
823,1.0
824,1.0
825,1.0
826,0.0
827,1.0
828,1.0
829,0.0
830,1.0
831,1.0
832,0.0
833,1.0
834,0.0
835,1.0
836,1.0
837,0.0
838,0.0
839,1.0
840,0.0
841,0.0
842,0.0
843,0.0
844,1.0
845,1.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,1.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,1.0
866,1.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,1.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,1.0
900,1.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,1.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,1.0
950,0.0
951,1.0
952,0.0
953,1.0
954,0.0
955,0.0
956,0.0
957,0.0
958,1.0
959,0.0
960,1.0
961,0.0
962,1.0
963,0.0
964,0.0
965,0.0
966,1.0
967,1.0
968,0.0
969,1.0
970,1.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,1.0
982,0.0
983,0.0
984,1.0
985,0.0
986,1.0
987,1.0
988,0.0
989,0.0
990,0.0
991,0.0
992,1.0
993,1.0
994,1.0
995,1.0
996,0.0
997,1.0
998,1.0
999,1.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,1.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,1.0
1024,0.0
1025,1.0
1026,1.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,1.0
1036,1.0
1037,1.0
1038,1.0
1039,1.0
1040,0.0
1041,0.0
1042,1.0
1043,0.0
1044,1.0
1045,1.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,1.0
1056,0.0
1057,0.0
1058,1.0
1059,1.0
1060,0.0
1061,0.0
1062,1.0
1063,0.0
1064,0.0
1065,1.0
1066,1.0
1067,1.0
1068,1.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,1.0
1074,1.0
1075,1.0
1076,1.0
1077,1.0
1078,1.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,1.0
1085,1.0
1086,0.0
1087,0.0
1088,0.0
1089,1.0
1090,0.0
1091,1.0
1092,1.0
1093,1.0
1094,1.0
1095,1.0
1096,1.0
1097,0.0
1098,0.0
1099,0.0
1100,1.0
1101,0.0
1102,0.0
1103,1.0
1104,1.0
1105,1.0
1106,1.0
1107,1.0
1108,1.0
1109,1.0
1110,1.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,1.0
1120,1.0
1121,0.0
1122,0.0
1123,0.0
1124,1.0
1125,0.0
1126,1.0
1127,1.0
1128,1.0
1129,1.0
1130,1.0
1131,1.0
1132,1.0
1133,1.0
1134,1.0
1135,1.0
1136,1.0
1137,1.0
1138,1.0
1139,1.0
1140,1.0
1141,0.0
1142,0.0
1143,0.0
1144,1.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,1.0
1152,1.0
1153,1.0
1154,0.0
1155,1.0
1156,1.0
1157,1.0
1158,1.0
1159,1.0
1160,1.0
1161,1.0
1162,1.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,1.0
1173,1.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,1.0
1180,0.0
1181,0.0
1182,0.0
1183,1.0
1184,1.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,1.0
1194,1.0
1195,1.0
1196,1.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,1.0
1206,1.0
1207,1.0
1208,1.0
1209,1.0
1210,1.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,1.0
1224,0.0
1225,0.0
1226,1.0
1227,1.0
1228,1.0
1229,1.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,1.0
1239,0.0
1240,0.0
1241,1.0
1242,1.0
1243,0.0
1244,1.0
1245,1.0
1246,1.0
1247,1.0
1248,1.0
1249,1.0
1250,1.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,1.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,1.0
1280,1.0
1281,1.0
1282,1.0
1283,1.0
1284,1.0
1285,1.0
1286,1.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,1.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,1.0
1298,0.0
1299,0.0
1300,0.0
1301,1.0
1302,1.0
1303,0.0
1304,1.0
1305,1.0
1306,1.0
1307,1.0
1308,1.0
1309,1.0
1310,1.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,1.0
1317,1.0
1318,1.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,1.0
1334,1.0
1335,1.0
1336,1.0
1337,1.0
1338,1.0
1339,1.0
1340,0.0
1341,1.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,1.0
1368,1.0
1369,1.0
1370,1.0
1371,1.0
1372,0.0
1373,1.0
1374,1.0
1375,1.0
1376,0.0
1377,1.0
1378,0.0
1379,1.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,1.0
1425,0.0
1426,1.0
1427,1.0
1428,1.0
1429,1.0
1430,0.0
1431,1.0
1432,1.0
1433,1.0
1434,0.0
1435,1.0
1436,0.0
1437,1.0
1438,0.0
1439,0.0
